acceptedTaxonKey,acceptedScientificName,n_totaal,Cfb,Cfa
1651430,Aedes albopictus,60409,3.79,46.24
2225776,Eriocheir sinensis,14888,98.05,0.6
2226990,Pacifastacus leniusculus,71275,95.46,0.43
2227300,Procambarus clarkii,26086,52.33,20.61
2340977,Ameiurus melas,35732,45.22,11.42
2350570,Gambusia holbrooki,29075,16.07,42.47
2350580,Gambusia affinis,43905,15.08,52.38
2362868,Pseudorasbora parva,62734,73,12.38
2367911,Misgurnus mohoity,43,72.09,2.33
2394486,Lepomis gibbosus,129343,55.77,15.58
2394604,Morone americana,10475,0.35,67.57
2427091,Lithobates catesbeianus,61849,11.03,40.6
2434552,Nyctereutes procyonoides,25434,5.95,38.55
2437394,Callosciurus erythraeus,2007,16.69,36.77
2437450,Tamias sibiricus,13187,26.85,9.18
2440946,Muntiacus reevesi,17223,98.82,0.84
2443002,Trachemys scripta,34703,20.98,53.02
2498252,Alopochen aegyptiaca,2523022,62.93,3.92
2498305,Oxyura jamaicensis,3025524,3.46,32.15
2502792,Arthurdendyus triangulatus,4692,96.8,NA
2650436,Lygodium japonicum,7734,3.47,77.15
2704521,Cortaderia jubata,690,38.55,3.91
2706080,Andropogon virginicus,6586,7.21,85.26
2765940,Eichhornia crassipes,18917,2.78,65.99
2865565,Lagarosiphon major,3069,93.61,1.27
2869311,Lysichiton americanus,31792,70.97,NA
2870583,Pistia stratiotes,14366,4.34,45.06
2882443,Cabomba caroliniana,1556,28.53,50.45
2889088,Reynoutria sachalinensis,14235,77.08,3.2
2889173,Reynoutria japonica,287606,88.19,4.04
2891770,Impatiens glandulifera,301086,85.2,0.34
2977647,Pueraria montana,3846,7.67,47.61
2977647,Pueraria montana,4231,7.97,47.74
2984306,Gunnera tinctoria,2961,78.69,0.27
2984537,Humulus scandens,4821,4.23,57.85
3034825,Heracleum mantegazzianum,97434,78.75,0.11
3054399,Triadica sebifera,9737,0.61,90.48
3084923,Alternanthera philoxeroides,23501,4.65,91.34
3086784,Parthenium hysterophorus,10217,3.54,28.65
3129663,Baccharis halimifolia,9750,24.36,68.62
3169169,Celastrus orbiculatus,18500,2.9,72.39
3170247,Asclepias syriaca,41901,5.33,41.1
3189935,Cardiospermum grandiflorum,2593,5.09,48.44
3190653,Ailanthus altissima,153318,45,30.06
4033648,Persicaria perfoliata,5364,3.23,77.89
4038485,Reynoutria bohemica,8662,64.47,2.45
4264680,Myocastor coypus,68038,81.77,12.11
4284921,Channa argus,5049,NA,94.73
5035017,Solenopsis richteri,158,1.9,96.2
5035230,Solenopsis invicta,10459,0.18,88.77
5218786,Procyon lotor,62772,23.81,38.06
5219681,Sciurus carolinensis,264195,66.26,20.69
5219683,Sciurus niger,93890,0.19,48.38
5219858,Ondatra zibethicus,205780,88.86,2.77
5274863,Salvinia molesta,3242,5.92,28.96
5289808,Microstegium vimineum,8314,2.61,89.02
5329212,Elodea nuttallii,71618,96.27,0.87
5361762,Myriophyllum heterophyllum,1544,29.4,25.97
5361785,Myriophyllum aquaticum,11788,43.43,36.6
5420991,Ludwigia peploides,5133,37.83,30.86
5421039,Ludwigia grandiflora,10623,72.5,20.15
5712056,Fundulus heteroclitus,2505,1.08,81.28
5824863,Rugulopteryx okamurae,166,15.06,52.41
5855350,Limnoperna fortunei,117,1.71,75.21
6063677,Gymnocoronis spilanthoides,504,23.81,61.71
7265582,Celastrus orbiculatus,18500,2.9,72.39
7287606,Hakea sericea,8001,48.36,38.18
7905441,Celastrus orbiculatus,18500,2.9,72.39
7965247,Plotosus lineatus,1707,0.29,32.22
7978544,Hydrocotyle ranunculoides,11906,78.45,9.46
8002952,Ambrosia artemisiifolia,63104,59.02,19.86
8114276,Lespedeza cuneata,5886,2.12,73.67
8848208,Koenigia polystachya,3904,90.62,0.26
8909595,Faxonius limosus,28088,92.29,5.33
8971201,Faxonius virilis,4309,9.21,33.44
9442269,Procambarus virginalis,111,94.59,0.9
9799308,Lampropeltis getula,3819,0.63,62.84
