soort;marien;brak;zoetwater;terrestrisch
hemelboom;0;0;0;1
zijdeplant;0;0;0;1
struikaster;0;1;0;1
waterwaaier;0;0;1;0
waterhyacint;0;0;1;0
smalle waterpest;0;0;1;0
gewone gunnera;0;0;0;1
reuzenberenklauw;0;0;0;1
grote waternavel;0;0;1;0
reuzenbalsemien;0;0;0;1
verspreidbladige waterpest;0;0;1;0
grote waterteunisbloem;0;0;1;0
kleine waterteunisbloem;0;0;1;0
moerasaronskelk;0;0;1;1
Japans steltgras;0;0;0;1
parelvederkruid;0;0;1;0
ongelijkbladig vederkruid;0;0;1;0
fraai lampenpoetsersgras;0;0;0;1
grote vlotvaren;0;0;1;0
treurmaina;0;0;0;1
nijlgans;0;1;1;1
Pallas' eekhoorn;0;0;0;1
Chinese wolhandkrab;1;1;1;0
zonnebaars;0;1;1;0
Amerikaanse stierkikker;0;0;1;1
Chinese muntjak;0;0;0;1
beverrat;0;0;1;1
wasbeerhond;0;0;0;1
muskusrat;0;0;1;1
gevlekte Amerikaanse rivierkreeft;0;0;1;0
geknobbelde Amerikaanse rivierkreeft;0;0;1;0
rosse stekelstaart;0;0;1;0
Californische rivierkreeft;0;0;1;0
rode Amerikaanse rivierkreeft;0;1;1;0
marmerkreeft;0;0;1;0
wasbeer;0;0;0;1
blauwbandgrondel;0;1;1;0
grijze eekhoorn;0;0;0;1
Amerikaanse voseekhoorn;0;0;0;1
Siberische grondeekhoorn;0;0;0;1
heilige ibis;0;1;1;1
lettersierschildpad;0;0;1;0
Aziatische hoornaar (soort);0;0;0;1
Aziatische boomwurger;0;0;0;1
Afghaanse duizendknoop;0;0;0;1
watersla;0;0;1;0
Afrikaanse klauwkikker;0;0;1;0
watercrassula;0;0;1;1
invasieve duizendknopen;0;0;0;1
Canadese gans;0;0;1;1
Amerikaanse nerts;0;0;1;1
Noord-Aziatische modderkruiper;0;0;1;0
gestreepte Amerikaanse rivierkreeft;0;0;1;0
moerasanemoon;0;0;1;0
Kaapse waterlelie;0;0;1;0
egeria;0;1;1;0
moerashyacint;0;0;1;0
Japans hoefblad;0;0;0;1
Leidse plant;0;0;1;1
gele maskerbloem;0;0;0;1
Mantsjoerese wilde rijst;0;1;1;0
mahonie;0;0;0;1
boksdoorn;0;0;0;1
rimpelroos;0;0;0;1
smalle olijfwilg;0;0;0;1
sneeuwbes;0;0;0;1
vijfbladige wingerd;0;0;0;1
valse wingerd;0;0;0;1
sikahert;0;0;0;1
Chinese moerasslak;0;0;1;0
Chinese prachtslang;0;0;0;1
Turkse rivierkreeft;0;1;1;0
Amerikaanse vogelkers;0;0;0;1
zwartbekgrondel;0;1;1;0
Kesslergrondel;0;1;1;0
Pontische stroomgrondel;0;1;1;0
marmergrondel;0;1;1;0
late guldenroede;0;0;0;1
Canadese guldenroede;0;0;0;1
Amerikaanse hondsvis;0;0;1;0
